,Ticker,Entry Time,Entry Price,Exit Time,Exit Price
237,BANKNIFTY24DEC2029400PE,22-12-2020 09:29,359.65,22-12-2020 12:46,365.95
238,BANKNIFTY24DEC2029600CE,23-12-2020 09:29,306.85,23-12-2020 14:13,218.15
239,BANKNIFTY24DEC2029600PE,23-12-2020 09:29,101.55,23-12-2020 14:13,238
240,BANKNIFTY24DEC2030200CE,24-12-2020 09:29,254.1,24-12-2020 10:15,139.45
241,BANKNIFTY24DEC2030200PE,24-12-2020 09:29,56.8,24-12-2020 10:15,139.7
242,BANKNIFTY31DEC2030800CE,28-12-2020 09:29,348.15,28-12-2020 13:43,328.8
243,BANKNIFTY31DEC2030800PE,28-12-2020 09:29,252.2,28-12-2020 13:43,339.75
244,BANKNIFTY31DEC2031300CE,29-12-2020 09:29,274.75,29-12-2020 13:10,272.15
245,BANKNIFTY31DEC2031300PE,29-12-2020 09:29,216.65,29-12-2020 13:10,274.6
246,BANKNIFTY31DEC2031200CE,30-12-2020 09:29,248.25,30-12-2020 10:24,283.9
247,BANKNIFTY31DEC2031200PE,30-12-2020 09:29,221.7,30-12-2020 10:24,240.1
248,BANKNIFTY31DEC2031300CE,31-12-2020 09:29,161.8,31-12-2020 10:37,173.85
249,BANKNIFTY31DEC2031300PE,31-12-2020 09:29,105.05,31-12-2020 10:37,124
